     1	2008-01-01
     2	3.8903994980129695
     3	3.0
     4	83.15901
     5	942.0571
     6	3.25
     7	80.41412
     8	1.450318
     9	83.7773898804478
    10	89.0569
    11	100.3973
    12	99.98873
    13	366484800.0
    14	
    15	136.196660706156
    16	
    17	160033989499.863
    18	654422065709.076
    19	431155223136.019
    20	45.8471508377288
    21	367547505772.926
    22	389042953702.877
    23	46.2362036584532
    24	26945153232.9473
    25	427519521120.753
    26	672050772272.564
    27	3.00440451679569
    28	5.24642324
    29	2.80182195
    30	46.59557724
    31	4.11407022033816
    32	0.395831033548873
    33	6.20560204861274
    34	2.184385818658008
    35	-0.6403994980129695
    36	1.0164715149546495
    37	92.083354496182
    38	
    39	
    40	
